item,i_id
L5-39,125039
L5-40,125040
L5-41,125041
L5-42,125042
L5-43,125043
L5-44,125044
L5-45,125045
L5-46,125046
L5-47,125047
L5-48,125048
L5-49,125049
L5-50,125050
L5-51,125051
L5-52,125052
L5-53,125053
L5-54,125054
L5-55,125055
L5-56,125056
L5-57,125057
L5-58,125058
L5-59,125059
L5-60,125060
L5-61,125061
L5-62,125062
L5-63,125063
L5-64,125064
L5-65,125065
L5-66,125066
L5-67,125067
L5-68,125068
L5-69,125069
L5-70,125070
L5-71,125071
L5-72,125072
L5-73,125073
L5-74,125074
L5-75,125075
L5-76,125076
L5-77,125077
L5-78,125078
L5-79,125079
L5-80,125080
L5-81,125081
L5-82,125082
L5-83,125083
L5-84,125084
L5-85,125085
L5-86,125086
L5-87,125087
L5-88,125088
L5-89,125089
L5-90,125090
L5-91,125091
L5-92,125092
L5-93,125093
L5-94,125094
L5-95,125095
L5-96,125096
L5-97,125097
L5-98,125098
L5-99,125099
L5-100,125100
L5-101,125101
L5-102,125102
L5-103,125103
L5-104,125104
L5-105,125105
L5-106,125106
L5-107,125107
L5-108,125108
L5-109,125109
L5-110,125110
L5-111,125111
L5-112,125112
L5-113,125113
L5-114,125114
L5-115,125115
L5-116,125116
L5-117,125117
L5-118,125118
L5-119,125119
L5-120,125120
L5-121,125121
L5-122,125122
L5-123,125123
L5-124,125124
L5-125,125125
L5-126,125126
L5-127,125127
L5-128,125128
L5-129,125129
L5-130,125130
L5-131,125131
L5-132,125132
L5-133,125133
L5-134,125134
L5-135,125135
L5-136,125136
L5-137,125137
L5-138,125138
L5-139,125139
