序,產品代號,品名,單價,體積,廠牌,長,寬,高,種類,葷素,重量(g),"輸入格式(序,產品代碼+品名,單價,體積,種類)"
100,C1-27,《金蘭》精釀造油膏(590ml),36,1176.00 ,金蘭,7.0 ,7.0 ,24.0 ,醬油,素食,1000,100_C1-27《金蘭》精釀造油膏(590ml)_36_1176_醬油
101,C1-28,《金蘭》薄鹽醬油(590ml),55,1176.00 ,金蘭,7.0 ,7.0 ,24.0 ,醬油,素食,1000,101_C1-28《金蘭》薄鹽醬油(590ml)_55_1176_醬油
102,C1-29,《金蘭》醬油桌上瓶(148ml/玻璃),33,432.00 ,金蘭,6.0 ,6.0 ,12.0 ,醬油,素食,318,102_C1-29《金蘭》醬油桌上瓶(148ml/玻璃)_33_432_醬油
103,C1-30,《統一》四季醬油(870ml),49,1856.00 ,統一,8.0 ,8.0 ,29.0 ,醬油,素食,1089,103_C1-30《統一》四季醬油(870ml)_49_1856_醬油
104,C1-31,《統一》高純釀醬油(870ml),67,1856.00 ,統一,8.0 ,8.0 ,29.0 ,醬油,素食,1099,104_C1-31《統一》高純釀醬油(870ml)_67_1856_醬油
105,C1-32,《統一》龜甲萬甘醇醬油(1000ml/瓶),67,1376.00 ,統一,8.0 ,8.0 ,21.5 ,醬油,素食,1233,105_C1-32《統一》龜甲萬甘醇醬油(1000ml/瓶)_67_1376_醬油
106,C1-33,《統一》龜甲萬料亭和露(370ml/瓶),74,1127.00 ,統一,7.0 ,7.0 ,23.0 ,醬油,葷食,777,106_C1-33《統一》龜甲萬料亭和露(370ml/瓶)_74_1127_醬油
107,C1-34,《統一》龜甲萬料亭和露(香菇昆布)(370ml/瓶),79,1127.00 ,統一,7.0 ,7.0 ,23.0 ,醬油,素食,777,107_C1-34《統一》龜甲萬料亭和露(香菇昆布)(370ml/瓶)_79_1127_醬油
108,C1-35,《統一》龜甲萬鮮美露(340ml/瓶),72,980.00 ,統一,7.0 ,7.0 ,20.0 ,醬油,葷食,650,108_C1-35《統一》龜甲萬鮮美露(340ml/瓶)_72_980_醬油
109,C1-36,《萬家香》大吟釀薄鹽醬油(300ml/瓶),45,866.13 ,萬家香,6.5 ,6.5 ,20.5 ,醬油,素食,565,109_C1-36《萬家香》大吟釀薄鹽醬油(300ml/瓶)_45_866.125_醬油
110,C1-37,《萬家香》大吟釀醬油(300ml/瓶),36,866.13 ,萬家香,6.5 ,6.5 ,20.5 ,醬油,素食,565,110_C1-37《萬家香》大吟釀醬油(300ml/瓶)_36_866.125_醬油
111,C1-38,《萬家香》大吟釀蠔油(1000ml),65,1878.50 ,萬家香,8.5 ,8.5 ,26.0 ,醬油,葷食,1273,111_C1-38《萬家香》大吟釀蠔油(1000ml)_65_1878.5_醬油
112,C1-39,《萬家香》香菇素蠔油(1000ml),64,1878.50 ,萬家香,8.5 ,8.5 ,26.0 ,醬油,葷食,1267,112_C1-39《萬家香》香菇素蠔油(1000ml)_64_1878.5_醬油
113,C1-40,《萬家香》香菇素蠔油(300ml),31,756.00 ,萬家香,6.0 ,6.0 ,21.0 ,醬油,葷食,649,113_C1-40《萬家香》香菇素蠔油(300ml)_31_756_醬油
114,C1-41,《萬家香》純釀造油膏(360g/瓶),35,1237.50 ,萬家香,7.5 ,7.5 ,22.0 ,醬油,素食,360,114_C1-41《萬家香》純釀造油膏(360g/瓶)_35_1237.5_醬油
115,C1-42,《萬家香》壺底油(1000ml),58,1878.50 ,萬家香,8.5 ,8.5 ,26.0 ,醬油,素食,1270,115_C1-42《萬家香》壺底油(1000ml)_58_1878.5_醬油
116,D1-1,紅標料理米酒,25,1421.00 ,公賣局,7.0 ,7.0 ,29.0 ,米酒,素食,1066,116_D1-1紅標料理米酒_25_1421_米酒
117,D1-2,特級紅標米酒,38,792.00 ,公賣局,6.0 ,6.0 ,22.0 ,米酒,素食,554,117_D1-2特級紅標米酒_38_792_米酒
118,D1-3,紅標米酒水,47,1421.00 ,公賣局,7.0 ,7.0 ,29.0 ,米酒,素食,1083,118_D1-3紅標米酒水_47_1421_米酒
119,D1-4,特級紅標純米酒,45,792.00 ,公賣局,6.0 ,6.0 ,22.0 ,米酒,素食,553,119_D1-4特級紅標純米酒_45_792_米酒
120,D1-5,天味米酒,26,1372.00 ,天味,7.0 ,7.0 ,28.0 ,米酒,素食,633,120_D1-5天味米酒_26_1372_米酒
121,D1-6,美鳳料理米酒,24,1127.00 ,名賀,7.0 ,7.0 ,23.0 ,米酒,素食,600,121_D1-6美鳳料理米酒_24_1127_米酒
122,D1-7,春雨料理米酒,24,1127.00 ,國慶,7.0 ,7.0 ,23.0 ,米酒,素食,600,122_D1-7春雨料理米酒_24_1127_米酒
123,E1-1,《台糖》 二號砂糖 (1kg/包),36,504.00 ,台糖,9.0 ,28.0 ,2.0 ,糖,素食,1000,123_E1-1《台糖》 二號砂糖 (1kg/包)_36_504_糖
124,E1-2,《台糖》 貳號砂糖 (500g/包),23,633.60 ,台糖,22.0 ,14.4 ,2.0 ,糖,素食,500,124_E1-2《台糖》 貳號砂糖 (500g/包)_23_633.6_糖
125,F1-1,《台鹽》健康減鈉鹽(300g/罐),55,567.00 ,台鹽,9.0 ,9.0 ,7.0 ,鹽,素食,300,125_F1-1《台鹽》健康減鈉鹽(300g/罐)_55_567_鹽
126,F1-2,《台鹽》天然超鮮鹽(300g/罐),49,567.00 ,台鹽,9.0 ,9.0 ,7.0 ,鹽,素食,300,126_F1-2《台鹽》天然超鮮鹽(300g/罐)_49_567_鹽
127,F1-3,《台鹽》台灣精緻海鹽(300g/罐),49,567.00 ,台鹽,9.0 ,9.0 ,7.0 ,鹽,素食,300,127_F1-3《台鹽》台灣精緻海鹽(300g/罐)_49_567_鹽
128,F1-4,《台鹽》健康美味鹽(300g/罐),55,972.00 ,台鹽,9.0 ,9.0 ,12.0 ,鹽,素食,300,128_F1-4《台鹽》健康美味鹽(300g/罐)_55_972_鹽
129,F1-5,《台鹽》原味料理鹽(500g/包),55,528.00 ,台鹽,11.0 ,3.0 ,16.0 ,鹽,素食,500,129_F1-5《台鹽》原味料理鹽(500g/包)_55_528_鹽
130,F1-6,《台鹽》台灣的鹽(600g/包),27,648.00 ,台鹽,12.0 ,3.0 ,18.0 ,鹽,素食,600,130_F1-6《台鹽》台灣的鹽(600g/包)_27_648_鹽
131,F1-7,《台鹽》醃漬天然海鹽(600g/包),45,648.00 ,台鹽,3.0 ,12.0 ,18.0 ,鹽,素食,600,131_F1-7《台鹽》醃漬天然海鹽(600g/包)_45_648_鹽
132,F1-8,《台鹽》特級精鹽(1000g/包),19,884.00 ,台鹽,13.0 ,4.0 ,17.0 ,鹽,素食,1000,132_F1-8《台鹽》特級精鹽(1000g/包)_19_884_鹽
133,F1-9,《台鹽》高級精鹽(1000g),14,884.00 ,台鹽,13.0 ,4.0 ,17.0 ,鹽,素食,1000,133_F1-9《台鹽》高級精鹽(1000g)_14_884_鹽
134,F1-10,《台鹽》健康美味鹽(600g/罐),82,567.00 ,台鹽,9.0 ,9.0 ,7.0 ,鹽,素食,600,134_F1-10《台鹽》健康美味鹽(600g/罐)_82_567_鹽
135,F1-11,《台鹽》健康減鈉鹽(600g/ 罐),81,972.00 ,台鹽,9.0 ,9.0 ,12.0 ,鹽,素食,600,135_F1-11《台鹽》健康減鈉鹽(600g/ 罐)_81_972_鹽
136,F1-12,《天廚》喜馬拉雅山岩鹽細粒(400g/罐),89,608.00 ,天廚,8.0 ,8.0 ,9.5 ,鹽,素食,400,136_F1-12《天廚》喜馬拉雅山岩鹽細粒(400g/罐)_89_608_鹽
137,F1-13,《天廚》紐西蘭細精鹽(400g/罐),59,608.00 ,天廚,8.0 ,8.0 ,9.5 ,鹽,素食,400,137_F1-13《天廚》紐西蘭細精鹽(400g/罐)_59_608_鹽
138,F1-14,《天廚》紐西蘭有機天然海鹽(300g),66,608.00 ,天廚,8.0 ,8.0 ,9.5 ,鹽,素食,300,138_F1-14《天廚》紐西蘭有機天然海鹽(300g)_66_608_鹽
139,F1-15,《Taiwan Yes》深滋味鹽(300g/罐),65,607.50 ,Taiwan Yes,9.0 ,9.0 ,7.5 ,鹽,素食,300,139_F1-15《Taiwan Yes》深滋味鹽(300g/罐)_65_607.5_鹽
140,F1-16,《AJIYO》高級岩鹽(600g/包),26,663.00 ,AJIYO,17.0 ,13.0 ,3.0 ,鹽,素食,600,140_F1-16《AJIYO》高級岩鹽(600g/包)_26_663_鹽
